Data;Dia;Posto;kWh
01/09/2021 00:15;Quarta;Fora Ponta;0,126
01/09/2021 00:30;Quarta;Fora Ponta;0,136
01/09/2021 00:45;Quarta;Fora Ponta;0,15
01/09/2021 01:00;Quarta;Fora Ponta;0,141
01/09/2021 01:15;Quarta;Fora Ponta;0,139
01/09/2021 01:30;Quarta;Fora Ponta;0,14
01/09/2021 01:45;Quarta;Fora Ponta;0,105
01/09/2021 02:00;Quarta;Fora Ponta;0,135
01/09/2021 02:15;Quarta;Fora Ponta;0,136
01/09/2021 02:30;Quarta;Fora Ponta;0,118
01/09/2021 02:45;Quarta;Fora Ponta;0,131
01/09/2021 03:00;Quarta;Fora Ponta;0,124
01/09/2021 03:15;Quarta;Fora Ponta;0,102
01/09/2021 03:30;Quarta;Fora Ponta;0,12
01/09/2021 03:45;Quarta;Fora Ponta;0,118
01/09/2021 04:00;Quarta;Fora Ponta;0,111
01/09/2021 04:15;Quarta;Fora Ponta;0,113
01/09/2021 04:30;Quarta;Fora Ponta;0,108
01/09/2021 04:45;Quarta;Fora Ponta;0,1
01/09/2021 05:00;Quarta;Fora Ponta;0,103
01/09/2021 05:15;Quarta;Fora Ponta;0,11
01/09/2021 05:30;Quarta;Fora Ponta;0,112
01/09/2021 05:45;Quarta;Fora Ponta;0,127
01/09/2021 06:00;Quarta;Fora Ponta;0,121
01/09/2021 06:15;Quarta;Fora Ponta;0,136
01/09/2021 06:30;Quarta;Fora Ponta;0,129
01/09/2021 06:45;Quarta;Fora Ponta;0,113
01/09/2021 07:00;Quarta;Fora Ponta;0,106
01/09/2021 07:15;Quarta;Fora Ponta;0,081
01/09/2021 07:30;Quarta;Fora Ponta;0,105
01/09/2021 07:45;Quarta;Fora Ponta;0,094
01/09/2021 08:00;Quarta;Fora Ponta;0,061
01/09/2021 08:15;Quarta;Fora Ponta;0,054
01/09/2021 08:30;Quarta;Fora Ponta;0,058
01/09/2021 08:45;Quarta;Fora Ponta;0,116
01/09/2021 09:00;Quarta;Fora Ponta;0,113
01/09/2021 09:15;Quarta;Fora Ponta;0,181
01/09/2021 09:30;Quarta;Fora Ponta;0,2
01/09/2021 09:45;Quarta;Fora Ponta;0,191
01/09/2021 10:00;Quarta;Fora Ponta;0,183
01/09/2021 10:15;Quarta;Fora Ponta;0,181
01/09/2021 10:30;Quarta;Fora Ponta;0,194
01/09/2021 10:45;Quarta;Fora Ponta;0,178
01/09/2021 11:00;Quarta;Fora Ponta;0,186
01/09/2021 11:15;Quarta;Fora Ponta;0,141
01/09/2021 11:30;Quarta;Fora Ponta;0,13
01/09/2021 11:45;Quarta;Fora Ponta;0,134
01/09/2021 12:00;Quarta;Fora Ponta;0,135
01/09/2021 12:15;Quarta;Fora Ponta;0,121
01/09/2021 12:30;Quarta;Fora Ponta;0,127
01/09/2021 12:45;Quarta;Fora Ponta;0,117
01/09/2021 13:00;Quarta;Fora Ponta;0,139
01/09/2021 13:15;Quarta;Fora Ponta;0,175
01/09/2021 13:30;Quarta;Fora Ponta;0,177
01/09/2021 13:45;Quarta;Fora Ponta;0,167
01/09/2021 14:00;Quarta;Fora Ponta;0,161
01/09/2021 14:15;Quarta;Fora Ponta;0,183
01/09/2021 14:30;Quarta;Fora Ponta;0,145
01/09/2021 14:45;Quarta;Fora Ponta;0,159
01/09/2021 15:00;Quarta;Fora Ponta;0,183
01/09/2021 15:15;Quarta;Fora Ponta;0,184
01/09/2021 15:30;Quarta;Fora Ponta;0,183
01/09/2021 15:45;Quarta;Fora Ponta;0,186
01/09/2021 16:00;Quarta;Fora Ponta;0,182
01/09/2021 16:15;Quarta;Fora Ponta;0,184
01/09/2021 16:30;Quarta;Fora Ponta;0,185
01/09/2021 16:45;Quarta;Fora Ponta;0,159
01/09/2021 17:00;Quarta;Fora Ponta;0,208
01/09/2021 17:15;Quarta;Fora Ponta;0,178
01/09/2021 17:30;Quarta;Fora Ponta;0,155
01/09/2021 17:45;Quarta;Ponta;0,01
01/09/2021 18:00;Quarta;Ponta;0,006
01/09/2021 18:15;Quarta;Ponta;0,006
01/09/2021 18:30;Quarta;Ponta;0,006
01/09/2021 18:45;Quarta;Ponta;0,007
01/09/2021 19:00;Quarta;Ponta;0,007
01/09/2021 19:15;Quarta;Ponta;0,006
01/09/2021 19:30;Quarta;Ponta;0,006
01/09/2021 19:45;Quarta;Ponta;0,006
01/09/2021 20:00;Quarta;Ponta;0,007
01/09/2021 20:15;Quarta;Ponta;0,006
01/09/2021 20:30;Quarta;Ponta;0,007
01/09/2021 20:45;Quarta;Fora Ponta;0,007
01/09/2021 21:00;Quarta;Fora Ponta;0,056
01/09/2021 21:15;Quarta;Fora Ponta;0,061
01/09/2021 21:30;Quarta;Fora Ponta;0,089
01/09/2021 21:45;Quarta;Fora Ponta;0,097
01/09/2021 22:00;Quarta;Fora Ponta;0,184
01/09/2021 22:15;Quarta;Fora Ponta;0,213
01/09/2021 22:30;Quarta;Fora Ponta;0,255
01/09/2021 22:45;Quarta;Fora Ponta;0,255
01/09/2021 23:00;Quarta;Fora Ponta;0,244
01/09/2021 23:15;Quarta;Fora Ponta;0,233
01/09/2021 23:30;Quarta;Fora Ponta;0,242
01/09/2021 23:45;Quarta;Fora Ponta;0,207
02/09/2021 00:00;Quinta;Fora Ponta;0,171
02/09/2021 00:15;Quinta;Fora Ponta;0,237
02/09/2021 00:30;Quinta;Fora Ponta;0,237
02/09/2021 00:45;Quinta;Fora Ponta;0,231
02/09/2021 01:00;Quinta;Fora Ponta;0,24
02/09/2021 01:15;Quinta;Fora Ponta;0,17
02/09/2021 01:30;Quinta;Fora Ponta;0,107
02/09/2021 01:45;Quinta;Fora Ponta;0,148
02/09/2021 02:00;Quinta;Fora Ponta;0,204
02/09/2021 02:15;Quinta;Fora Ponta;0,196
02/09/2021 02:30;Quinta;Fora Ponta;0,193
02/09/2021 02:45;Quinta;Fora Ponta;0,209
02/09/2021 03:00;Quinta;Fora Ponta;0,23
02/09/2021 03:15;Quinta;Fora Ponta;0,198
02/09/2021 03:30;Quinta;Fora Ponta;0,197
02/09/2021 03:45;Quinta;Fora Ponta;0,182
02/09/2021 04:00;Quinta;Fora Ponta;0,158
02/09/2021 04:15;Quinta;Fora Ponta;0,158
02/09/2021 04:30;Quinta;Fora Ponta;0,153
02/09/2021 04:45;Quinta;Fora Ponta;0,158
02/09/2021 05:00;Quinta;Fora Ponta;0,194
02/09/2021 05:15;Quinta;Fora Ponta;0,17
02/09/2021 05:30;Quinta;Fora Ponta;0,191
02/09/2021 05:45;Quinta;Fora Ponta;0,198
02/09/2021 06:00;Quinta;Fora Ponta;0,186
02/09/2021 06:15;Quinta;Fora Ponta;0,18
02/09/2021 06:30;Quinta;Fora Ponta;0,157
02/09/2021 06:45;Quinta;Fora Ponta;0,169
02/09/2021 07:00;Quinta;Fora Ponta;0,132
02/09/2021 07:15;Quinta;Fora Ponta;0,112
02/09/2021 07:30;Quinta;Fora Ponta;0,126
02/09/2021 07:45;Quinta;Fora Ponta;0,149
02/09/2021 08:00;Quinta;Fora Ponta;0,175
02/09/2021 08:15;Quinta;Fora Ponta;0,156
02/09/2021 08:30;Quinta;Fora Ponta;0,062
02/09/2021 08:45;Quinta;Fora Ponta;0,062
