Data;Dia;Postos horários;kW fornecido;UFER;DMCR
01/09/2021 00:15;Quarta;Fora Ponta;0,505;-;-
01/09/2021 00:30;Quarta;Fora Ponta;0,545;-;-
01/09/2021 00:45;Quarta;Fora Ponta;0,601;-;-
01/09/2021 01:00;Quarta;Fora Ponta;0,564;-;-
01/09/2021 01:15;Quarta;Fora Ponta;0,556;-;-
01/09/2021 01:30;Quarta;Fora Ponta;0,559;0;0
01/09/2021 01:45;Quarta;Fora Ponta;0,419;-;-
01/09/2021 02:00;Quarta;Fora Ponta;0,54;-;-
01/09/2021 02:15;Quarta;Fora Ponta;0,544;-;-
01/09/2021 02:30;Quarta;Fora Ponta;0,47;0;0
01/09/2021 02:45;Quarta;Fora Ponta;0,526;-;-
01/09/2021 03:00;Quarta;Fora Ponta;0,498;-;-
01/09/2021 03:15;Quarta;Fora Ponta;0,409;-;-
01/09/2021 03:30;Quarta;Fora Ponta;0,481;0;0
01/09/2021 03:45;Quarta;Fora Ponta;0,473;-;-
01/09/2021 04:00;Quarta;Fora Ponta;0,443;-;-
01/09/2021 04:15;Quarta;Fora Ponta;0,451;-;-
01/09/2021 04:30;Quarta;Fora Ponta;0,431;0;0
01/09/2021 04:45;Quarta;Fora Ponta;0,4;-;-
01/09/2021 05:00;Quarta;Fora Ponta;0,412;-;-
01/09/2021 05:15;Quarta;Fora Ponta;0,439;-;-
01/09/2021 05:30;Quarta;Fora Ponta;0,448;0;0
01/09/2021 05:45;Quarta;Fora Ponta;0,506;-;-
01/09/2021 06:00;Quarta;Fora Ponta;0,486;-;-
01/09/2021 06:15;Quarta;Fora Ponta;0,544;-;-
01/09/2021 06:30;Quarta;Fora Ponta;0,517;0,058;0,571
01/09/2021 06:45;Quarta;Fora Ponta;0,454;-;-
01/09/2021 07:00;Quarta;Fora Ponta;0,422;-;-
01/09/2021 07:15;Quarta;Fora Ponta;0,325;-;-
01/09/2021 07:30;Quarta;Fora Ponta;0,421;0,089;0,495
01/09/2021 07:45;Quarta;Fora Ponta;0,376;-;-
01/09/2021 08:00;Quarta;Fora Ponta;0,242;-;-
01/09/2021 08:15;Quarta;Fora Ponta;0,217;-;-
01/09/2021 08:30;Quarta;Fora Ponta;0,232;0,062;0,329
01/09/2021 08:45;Quarta;Fora Ponta;0,463;-;-
01/09/2021 09:00;Quarta;Fora Ponta;0,452;-;-
01/09/2021 09:15;Quarta;Fora Ponta;0,726;-;-
01/09/2021 09:30;Quarta;Fora Ponta;0,798;0,012;0,622
01/09/2021 09:45;Quarta;Fora Ponta;0,763;-;-
01/09/2021 10:00;Quarta;Fora Ponta;0,732;-;-
01/09/2021 10:15;Quarta;Fora Ponta;0,725;-;-
01/09/2021 10:30;Quarta;Fora Ponta;0,776;0,019;0,768
01/09/2021 10:45;Quarta;Fora Ponta;0,713;-;-
01/09/2021 11:00;Quarta;Fora Ponta;0,744;-;-
01/09/2021 11:15;Quarta;Fora Ponta;0,564;-;-
01/09/2021 11:30;Quarta;Fora Ponta;0,521;0,024;0,659
01/09/2021 11:45;Quarta;Fora Ponta;0,538;-;-
01/09/2021 12:00;Quarta;Fora Ponta;0,539;-;-
01/09/2021 12:15;Quarta;Fora Ponta;0,482;-;-
01/09/2021 12:30;Quarta;Fora Ponta;0,509;0,032;0,549
01/09/2021 12:45;Quarta;Fora Ponta;0,468;-;-
01/09/2021 13:00;Quarta;Fora Ponta;0,557;-;-
01/09/2021 13:15;Quarta;Fora Ponta;0,7;-;-
01/09/2021 13:30;Quarta;Fora Ponta;0,709;0,027;0,636
01/09/2021 13:45;Quarta;Fora Ponta;0,666;-;-
01/09/2021 14:00;Quarta;Fora Ponta;0,644;-;-
01/09/2021 14:15;Quarta;Fora Ponta;0,732;-;-
01/09/2021 14:30;Quarta;Fora Ponta;0,581;0,042;0,698
01/09/2021 14:45;Quarta;Fora Ponta;0,635;-;-
01/09/2021 15:00;Quarta;Fora Ponta;0,731;-;-
01/09/2021 15:15;Quarta;Fora Ponta;0,734;-;-
01/09/2021 15:30;Quarta;Fora Ponta;0,733;0,038;0,746
01/09/2021 15:45;Quarta;Fora Ponta;0,743;-;-
01/09/2021 16:00;Quarta;Fora Ponta;0,727;-;-
01/09/2021 16:15;Quarta;Fora Ponta;0,737;-;-
01/09/2021 16:30;Quarta;Fora Ponta;0,74;0,032;0,769
01/09/2021 16:45;Quarta;Fora Ponta;0,636;-;-
01/09/2021 17:00;Quarta;Fora Ponta;0,832;-;-
01/09/2021 17:15;Quarta;Fora Ponta;0,713;-;-
01/09/2021 17:30;Quarta;Fora Ponta;0,619;0,053;0,753
01/09/2021 17:45;Quarta;Ponta;0,04;-;-
01/09/2021 18:00;Quarta;Ponta;0,024;-;-
01/09/2021 18:15;Quarta;Ponta;0,023;-;-
01/09/2021 18:30;Quarta;Ponta;0,024;0,247;0,275
01/09/2021 18:45;Quarta;Ponta;0,029;-;-
01/09/2021 19:00;Quarta;Ponta;0,026;-;-
01/09/2021 19:15;Quarta;Ponta;0,024;-;-
01/09/2021 19:30;Quarta;Ponta;0,023;0,213;0,239
01/09/2021 19:45;Quarta;Ponta;0,023;-;-
01/09/2021 20:00;Quarta;Ponta;0,028;-;-
01/09/2021 20:15;Quarta;Ponta;0,025;-;-
01/09/2021 20:30;Quarta;Ponta;0,026;0,22;0,245
01/09/2021 20:45;Quarta;Fora Ponta;0,03;-;-
01/09/2021 21:00;Quarta;Fora Ponta;0,224;-;-
01/09/2021 21:15;Quarta;Fora Ponta;0,245;-;-
